name,rating,cuisines,address,cost_for_two,timings,link
Parth Juice Cafe Centre,4.0,", , View Gallery",,₹300 for two people (approx.),"Parth Juice Cafe Centre
4.0
204
Dining Ratings
3.9
9,532
Delivery Ratings
Beverages, Pizza, Sandwich, Chinese, Fast Food, Ice Cream, Desserts, Burger
7, Chauraha, Near Super Studio, Morar, Gwalior
Closes in 54 minutes
11am – 10pm (Today)
₹300 for two
+919826389393",https://www.zomato.com/gwalior/parth-juice-cafe-centre-morar/info
Twisted Toppings Pizza,4.1,", , View Gallery",,₹250 for two people (approx.),"Twisted Toppings Pizza
4.1
234
Dining Ratings
3.8
3,860
Delivery Ratings
Pizza, Burger, Sandwich
GH 163, Deen Dayal Nagar, Gwalior
Closes in 1 hour 24 minutes
10am – 10:30pm (Today)
₹250 for two
+919425711612",https://www.zomato.com/gwalior/twisted-toppings-pizza-deen-dayal-nagar/info
Nainital's Testie Basket,3.4,", , ₹200 for two people (approx.)",,₹200 for two people (approx.),"Nainital's Testie Basket
3.4
5
Dining Ratings
4.2
264
Delivery Ratings
Fast Food, Biryani, Ice Cream
Tomar Building, Thatipur Chaurah, Opposite Chauhan Piyau, Thatipur, Gwalior
Open now
10am – 12midnight (Today)
₹200 for two
+917771022817",https://www.zomato.com/gwalior/nainitals-testie-basket-thatipur/info
Vadilal Hangout,3.2,", , View Gallery",,₹200 for two people (approx.),"Vadilal Hangout
3.2
10
Dining Ratings
4.5
113
Delivery Ratings
Ice Cream, Desserts, Shake
Food Court, DB City Mall, Defence Colony, Gandhi Nagar Road, Birla Nagar, Gwalior
Closes in 1 hour 54 minutes
11:30am – 11pm (Today)
₹200 for two
+919111285028",https://www.zomato.com/gwalior/vadilal-hangout-birla-nagar/info
Khana Khajana Family Restaurant,3.8,", , View Gallery",,₹550 for two people (approx.),"Khana Khajana Family Restaurant
3.8
212
Dining Ratings
4.1
4,466
Delivery Ratings
North Indian, Chinese, Mughlai, Fast Food
Chatan Pawaiya, Phoolbagh Chouraha, MLB Road, Lashkar, Gwalior
Closes in 1 hour 54 minutes
1pm – 11pm (Today)
₹550 for two
+919826298462
+1 more",https://www.zomato.com/gwalior/khana-khajana-family-restaurant-lashkar/info
The Star Roof Cafe,3.2,", , View Gallery",,₹400 for two people (approx.),"The Star Roof Cafe
3.2
4
Dining Ratings
3.2
53
Delivery Ratings
Fast Food, Pizza, Sandwich, Street Food, Chinese, Beverages, Shake
Near Petrol Pump, Patel Nagar, City Center, Gwalior
Open now
12midnight – 11pm (Today)
₹400 for two
+919399932337",https://www.zomato.com/gwalior/the-star-roof-cafe-city-center/info
Boxo Burger,3.8,", , View Gallery",,₹400 for two people (approx.),"Boxo Burger
3.8
31
Dining Ratings
3.6
792
Delivery Ratings
Burger, Pizza, Sandwich, Fast Food, Beverages
Kulshreshtha Market, Sachin Tendulkar Extension, City Center, Gwalior
Closes in 24 minutes
11am – 9:30pm (Today)
₹400 for two
+919650160309",https://www.zomato.com/gwalior/boxo-burger-city-center/info
Hotel Sai Kripa,-,", , View Gallery",,"₹1,000 for two people (approx.)","Hotel Sai Kripa
-
1
Dining Ratings
4.3
94
Delivery Ratings
North Indian, Chinese, South Indian, Desserts, Beverages
Gird, Near HP Petrol Pump, Deen Dayal Nagar, Gwalior
Closes in 1 hour 54 minutes
12noon – 11pm (Today)
₹1,000 for two
+919039475366",https://www.zomato.com/gwalior/hotel-sai-kripa-deen-dayal-nagar/info
Burger Budds,4.1,", , View Gallery",,₹200 for two people (approx.),"Burger Budds
4.1
73
Dining Ratings
4.1
5,026
Delivery Ratings
Burger, Wraps, Sandwich, Fast Food, Momos, Street Food, Shake, Beverages
Ground Floor, State Bank Chouraha, Tansen Nagar, Hazira, Birla Nagar, Gwalior
Closes in 1 hour 54 minutes
11am – 11pm (Today)
₹200 for two
+918224881627",https://www.zomato.com/gwalior/burger-budds-birla-nagar/info
Cosmo Cafe,-,", , View Gallery",,₹600 for two people (approx.),"Cosmo Cafe
-
1
Dining Ratings
-
0
Delivery Ratings
Pizza, Chinese, North Indian, Fast Food, Shake, Beverages
Mishra Petrol Pump, City Center, Gwalior
Closes in 53 minutes
12noon – 10pm (Today)
₹600 for two
+917987144459",https://www.zomato.com/gwalior/cosmo-cafe-city-center/info
WOW! China,3.7,", , ₹300 for two people (approx.)",,₹300 for two people (approx.),"WOW! China
3.7
15
Dining Ratings
3.6
1,913
Delivery Ratings
Chinese, Asian, Fast Food, Beverages, Snacks
3rd Floor, Stall T1, T2 & T3, DB Mall, Race Course Road, Opposite Railway Station, City Center, Gwalior
Open now
10am – 12midnight (Today)
₹300 for two
+917470600639",https://www.zomato.com/gwalior/wow-china-city-center/info
Ashoka Family Restaurant,4.0,", , View Gallery",,₹300 for two people (approx.),"Ashoka Family Restaurant
4.0
669
Dining Ratings
4.1
22.5K
Delivery Ratings
North Indian
Station Road, Thatipur, Gwalior
Closes in 1 hour 53 minutes
9am – 11pm (Today)
₹300 for two
+917477016554",https://www.zomato.com/gwalior/ashoka-family-restaurant-thatipur/info
