name,location,locality,city,cuisine,rating,votes,cost,main_cuisine
Local,"Scindia House,Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Finger Food,  Continental",4.1,2415,2000,North Indian
The G.T. ROAD,"M-Block,Connaught Place, Central Delhi",Central Delhi,Delhi,North Indian,4.3,2363,1500,North Indian
Tamasha,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Continental,  Asian",4.2,5016,2000,Finger Food
The Junkyard Cafe,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Mediterranean,  Asian,  Italian,  Oriental",4.2,2821,1800,North Indian
Chili's American Grill and Bar,"M-Block,Connaught Place, Central Delhi",Central Delhi,Delhi,"Mexican,  American,  Italian",4.4,1094,2000,Mexican
Ardor 2.1 Restaurant and Lounge,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Seafood",3.9,1391,2000,Multi-Cuisine
The Luggage Room By Sandoz,"M-Block,Connaught Place, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.0,1022,1800,Multi-Cuisine
QBA,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Oriental",4.3,963,2100,Multi-Cuisine
My Bar Square,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Finger Food,  Italian,  Chinese,  Continental",3.9,506,1500,Finger Food
Ghoomar Traditional Thali Restaurant,"Connaught Place, Central Delhi",Central Delhi,Delhi,Rajasthani,4.2,712,1000,Rajasthani
Station Bar,"F-Block,Connaught Place, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mediterranean,  Oriental",4.1,2428,2000,Multi-Cuisine
Warehouse Cafe,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Fusion,  Italian,  Chinese",4.1,2335,2500,North Indian
Padmanabham,"Janpath, Central Delhi",Central Delhi,Delhi,South Indian,4.2,223,700,South Indian
Unplugged Courtyard,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Continental",4.1,1817,2000,North Indian
38 Barracks,"M-Block,Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.3,1301,1700,North Indian
Ministry Of Beer,"M-Block,Connaught Place, Central Delhi",Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Continental,  Oriental ,  Fusion",4.0,1501,2100,Finger Food
Sandoz,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.2,134,1500,North Indian
Farzi Cafe,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Modern Indian,  Continental,  Finger Food",4.2,1410,2000,Modern Indian
Openhouse Cafe,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  American,  Asian,  Modern Indian",4.2,1272,2200,Multi-Cuisine
Lord of the Drinks,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Continental,  Japanese,  Oriental",4.2,2694,2000,Multi-Cuisine
Lazeez Affaire,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Mughlai",4.2,845,2600,North Indian
OTB Courtyard,"Connaught Place, Central Delhi",Central Delhi,Delhi,"World Cuisine,  Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  American,  Fast Food",4.1,297,2000,World Cuisine
The Darzi Bar & Kitchen,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  European,  Oriental",4.1,1624,2000,Multi-Cuisine
Route 04,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Finger Food,  Italian,  Continental,  American,  Tex Mex",4.2,388,2000,Finger Food
Kwality Restaurant,"Regal Cinema Complex,Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Continental",4.5,416,2000,North Indian
Castle Barbeque,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Chinese",3.5,101,2000,North Indian
Teddy Boy,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Continental,  Italian,  Chinese",4.2,1753,2000,North Indian
Tamra,"Shangri La's Eros Hotel,Janpath, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Japanese,  European,  Oriental",4.4,491,4000,Multi-Cuisine
Cafe Delhi Heights,"Janpath, Central Delhi",Central Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.4,776,2000,Modern Indian
The Imperial Spice,"M-Block,Connaught Place, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  European,  Oriental",4.4,500,2800,Multi-Cuisine
Informal By Imperfecto,"Janpath, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  Italian,  Continental,  Thai,  Oriental",4.1,1634,2400,Multi-Cuisine
Boa Village,"The Exchange Store Building,Civil Lines, North Delhi",North Delhi,Delhi,"Asian,  Chinese,  Japanese,  Korean",4.4,4265,2000,Asian
Cafe MRP,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Italian,  Oriental",4.2,1534,1400,North Indian
Caffe Tonino,"PVR Plaza,Connaught Place, Central Delhi",Central Delhi,Delhi,Italian,4.5,826,2000,Italian
Desi Vibes,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Mughlai",4.2,881,2200,North Indian
Cafe High5,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Chinese,  Continental,  Oriental",3.9,310,1800,North Indian
Master Of Malts,"Scindia House,Connaught Place, Central Delhi",Central Delhi,Delhi,"Continental,  Finger Food,  North Indian,  Italian,  Mediterranean,  European,  Asian",4.1,1269,2000,Continental
TEO - Lounge & Bar,"Punjabi Bagh, West Delhi",West Delhi,Delhi,"North Indian,  Oriental ,  Italian",3.9,1098,1200,North Indian
Connaught Clubhouse,"Janpath, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  Italian,  Mexican,  Asian",4.2,117,2500,Multi-Cuisine
Cafe Hawkers,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Italian,  Fast Food",4.3,712,1200,North Indian
Dhaba Estd 1986 Delhi,"Connaught Place, Central Delhi",Central Delhi,Delhi,North Indian,4.2,50,1200,North Indian
My Bar Headquarters,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Chinese",4.1,2503,1500,Finger Food
Zaffran,"Hotel Palace Heights,Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Mughlai",4.5,335,1000,North Indian
Oh My God,"F-Block,Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.1,922,2200,North Indian
Daryaganj,"Regal Cinema Complex,Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Mughlai",4.1,38,2000,North Indian
Berco's,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Chinese,  Thai",4.3,1378,1500,Chinese
Barbeque Nation,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Barbecue,  Mughlai",4.4,610,1700,North Indian
Bagundi,"M-Block,Connaught Place, Central Delhi",Central Delhi,Delhi,"South Indian,  Andhra,  Seafood",4.3,167,1000,South Indian
Biryani By Kilo,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Mughlai,  Biryani",4.1,181,800,Mughlai
Sincity,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Italian,  Continental,  Mexican,  Asian,  Mughlai",3.8,110,1800,North Indian
Naivedyam,"Connaught Place, Central Delhi",Central Delhi,Delhi,South Indian,3.8,54,500,South Indian
AIR An Ivory Region,"Punjabi Bagh, West Delhi",West Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Italian,  Street Food",4.0,3270,1200,North Indian
Punjab Grill,"Janpath, Central Delhi",Central Delhi,Delhi,"North Indian,  Mughlai",4.1,147,2200,North Indian
The Immigrant Cafe,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Italian,  Continental",4.0,65,2100,North Indian
Pind Balluchi,"Janpath, Central Delhi",Central Delhi,Delhi,"North Indian,  Mughlai",4.0,180,1800,North Indian
Bo-Tai Switch,"Shangri La's Eros Hotel,Janpath, Central Delhi",Central Delhi,Delhi,"Italian,  Thai",4.1,69,1200,Italian
Taste of China,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Chinese,  Thai",4.1,91,2000,Chinese
Blues,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  Finger Food,  North Indian,  Chinese,  Continental,  American",4.2,92,2000,Multi-Cuisine
Taco Bell,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Mexican,  Tex Mex",4.0,37,500,Mexican
The Host,"F-Block,Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Chinese,  Seafood,  Mughlai,  Oriental",4.2,75,2500,North Indian
THE ART HOUSE Restaurant,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Italian,  Continental",3.9,574,2500,North Indian
DR Zombie,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Italian,  American,  Coffee",4.1,158,1800,Italian
Wok in the Clouds,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Chinese,  Thai,  Asian,  North Indian,  Continental",4.4,69,2200,Chinese
Kinbuck 2,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Italian,  Continental,  Asian,  Chinese,  South Indian,  Fast Food",3.8,263,1800,North Indian
Ranisa,"Connaught Place, Central Delhi",Central Delhi,Delhi,Rajasthani,4.4,9,800,Rajasthani
The Embassy,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  European",4.2,276,2800,Multi-Cuisine
World Of My Bar,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Italian,  Fast Food",4.1,43,2200,North Indian
Biryani Blues,"Scindia House,Connaught Place, Central Delhi",Central Delhi,Delhi,"Biryani,  Hyderabadi",4.2,187,1200,Biryani
Chaayos,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Street Food,  Tea,  Fast Food",4.2,68,500,Street Food
The Great Kabab Factory,"Radisson Blu Marina,Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Mughlai",4.2,146,3000,North Indian
Khandani Rajdhani,"Scindia House,Connaught Place, Central Delhi",Central Delhi,Delhi,"Gujarati,  Rajasthani",4.0,417,1000,Gujarati
Chaayos,"M-Block,Connaught Place, Central Delhi",Central Delhi,Delhi,"Street Food,  Tea,  Fast Food",4.3,66,500,Street Food
Mughal-E-Hazam,"Connaught Place, Central Delhi",Central Delhi,Delhi,North Indian,5.0,1,1200,North Indian
Creme Borne,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Desserts,  Ice Cream,  Fast Food",4.8,9,500,Desserts
The Imperial Cafe,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  European",4.4,23,2500,Multi-Cuisine
Sorrento,"Shangri La's Eros Hotel,Janpath, Central Delhi",Central Delhi,Delhi,Italian,4.5,113,4000,Italian
Handi Chhadeyan Di,"Connaught Place, Central Delhi",Central Delhi,Delhi,North Indian,4.3,46,800,North Indian
The Chai Story,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Fast Food,  Tea",4.1,169,400,Fast Food
Fifty9,"Radisson Blu Marina,Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Continental,  Oriental",3.7,193,2800,North Indian
Shang Palace,"Shangri La's Eros Hotel,Janpath, Central Delhi",Central Delhi,Delhi,"Chinese,  Asian",4.6,152,4000,Chinese
Veda,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Seafood,  Mughlai",4.1,318,2700,North Indian
Baluchi,"The Lalit New Delhi,Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Mughlai",4.4,310,4000,North Indian
The Connaught Bar,"Radisson Blu Marina,Connaught Place, Central Delhi",Central Delhi,Delhi,Finger Food,3.7,23,2200,Finger Food
Kapurthala Kitchen,"Connaught Place, Central Delhi",Central Delhi,Delhi,"North Indian,  Chinese,  Continental",2.9,20,1200,North Indian
Bistro 55,"Paharganj, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",5.0,2,500,Multi-Cuisine
Giani,"Connaught Place, Central Delhi",Central Delhi,Delhi,"Desserts,  Ice Cream,  Shakes",3.0,2,400,Desserts
Mamagoto,"Khan Market, Central Delhi",Central Delhi,Delhi,"Asian,  Chinese,  Thai,  Japanese",4.5,576,1500,Asian
Cinnabon,"Shivaji Stadium Metro Station,Connaught Place, Central Delhi",Central Delhi,Delhi,"Desserts,  Bakery and Confectionary,  Coffee",3.8,19,500,Desserts
Fat Lulu's,"Khan Market, Central Delhi",Central Delhi,Delhi,"Italian,  Pizza,  Fast Food",4.5,25,1500,Italian
Pikkle,"Rajinder Nagar, West Delhi",West Delhi,Delhi,"Asian,  North Indian,  Chinese,  Thai,  Japanese,  Sushi",4.2,499,1800,Asian
Pindi,"Pandara Road, Central Delhi",Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.4,415,2500,North Indian
Cafe Delhi Heights,"Khan Market, Central Delhi",Central Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.4,123,2000,Modern Indian
TOS - Take Off Scarlet,"Punjabi Bagh, West Delhi",West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",3.9,3055,1200,Multi-Cuisine
Veg Gulati,"Pandara Road, Central Delhi",Central Delhi,Delhi,"North Indian,  Biryani,  Indian Cuisine",4.4,90,1200,North Indian
Judge & Jury,"Vijay Nagar, North Delhi",North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",4.1,1076,1400,Multi-Cuisine
The DineRoom,"Punjabi Bagh, West Delhi",West Delhi,Delhi,"North Indian,  Italian,  Chinese",4.2,443,1000,North Indian
Qbic Cafe,"East Patel Nagar, West Delhi",West Delhi,Delhi,"North Indian,  Chinese,  Continental,  Italian",4.3,447,1200,North Indian
1 Oak Cafe & Bar,"Defence Colony, South Delhi",South Delhi,Delhi,"Finger Food,  Italian,  Continental,  Asian",4.2,2118,1600,Finger Food
Zaika Foods,"Daryaganj, Central Delhi",Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.0,51,500,North Indian
The Chatter House,"Khan Market, Central Delhi",Central Delhi,Delhi,"North Indian,  Italian,  Continental",4.2,615,2600,North Indian
Dilli Gate,"Daryaganj, Central Delhi",Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.5,2,600,North Indian
Imly,"Apsara Arcade Mall,Karol Bagh, Central Delhi",Central Delhi,Delhi,"Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",3.8,401,800,Street Food
Ichiban,"Pandara Road, Central Delhi",Central Delhi,Delhi,"Chinese,  Thai,  Japanese",4.5,190,800,Chinese
Talli Station,"Rajendra Bhawan,Rajendra Place, West Delhi",West Delhi,Delhi,"North Indian,  Chinese,  Fast Food",4.1,82,1500,North Indian
Sly Granny,"Khan Market, Central Delhi",Central Delhi,Delhi,"European,  American",4.5,146,2500,European
Naivedyam,"East Patel Nagar, West Delhi",West Delhi,Delhi,South Indian,4.3,453,500,South Indian
Lanterns Kitchen & Bar,"Rajendra Bhawan,Rajendra Place, West Delhi",West Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Chinese",4.2,614,1600,Finger Food
Gola Sizzlers,"Khan Market, Central Delhi",Central Delhi,Delhi,"Sizzlers,  North Indian,  Chinese",4.0,37,1200,Sizzlers
Out Of The Box,"Khan Market, Central Delhi",Central Delhi,Delhi,"World Cuisine,  Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Oriental ,  Tex Mex",4.1,634,2000,World Cuisine
Wok in the Clouds,"Khan Market, Central Delhi",Central Delhi,Delhi,"Chinese,  Thai,  Asian,  North Indian,  Continental",4.3,646,2200,Chinese
MGM Club,"MGM Residency 19,Daryaganj, Central Delhi",Central Delhi,Delhi,"North Indian,  Mughlai,  Chinese",4.4,11,1800,North Indian
Sandoz,"Ashok Vihar Phase - 2, North Delhi",North Delhi,Delhi,"North Indian,  Chinese",4.3,851,1000,North Indian
Molecule Air Bar,"Green Park, South Delhi",South Delhi,Delhi,North Indian,4.2,555,1500,North Indian
Spezia Bistro,"Hudson Lane, North Delhi",North Delhi,Delhi,"Fast Food,  Italian,  Continental,  Oriental",4.5,1482,1200,Fast Food
Clue,"Punjabi Bagh, West Delhi",West Delhi,Delhi,"North Indian,  Italian,  Continental,  Chinese,  Oriental ,  Street Food",3.9,1296,1500,North Indian
Thalassery Restaurant,"Rajinder Nagar, West Delhi",West Delhi,Delhi,"North Indian,  Chinese,  Fast Food",5.0,1,800,North Indian
Anglow,"Khan Market, Central Delhi",Central Delhi,Delhi,"North Indian,  European,  Continental",4.3,85,2200,North Indian
Yellow Brick Road,"Ambassador,Khan Market, Central Delhi",Central Delhi,Delhi,"Continental,  North Indian,  Italian,  South Indian",4.4,532,3500,Continental
Suruchi,"Karol Bagh, Central Delhi",Central Delhi,Delhi,"Rajasthani,  North Indian,  Gujarati",4.2,55,800,Rajasthani
Sevilla,"The Claridges,Aurangzeb Road, Central Delhi",Central Delhi,Delhi,"Italian,  Spanish",4.5,306,5000,Italian
Sandoz,"Lajpat Nagar - 3, South Delhi",South Delhi,Delhi,"North Indian,  Chinese",4.3,431,1000,North Indian
Aura,"The Claridges,Aurangzeb Road, Central Delhi",Central Delhi,Delhi,Finger Food,4.7,3,4000,Finger Food
BFF (Beer Food Feast) Restro Bar,"Karol Bagh, Central Delhi",Central Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Finger Food",4.1,25,2000,North Indian
La Vie Pizzeria,"Khan Market, Central Delhi",Central Delhi,Delhi,"Italian,  Pizza",4.3,120,1500,Italian
Punjab Grill,"Khan Market, Central Delhi",Central Delhi,Delhi,"North Indian,  Mughlai",4.1,156,2200,North Indian
Castle Barbeque,"Pacific Mall,Tagore Garden, West Delhi",West Delhi,Delhi,"North Indian,  Chinese",4.0,1652,2000,North Indian
Lazeez Affaire,"Malcha Marg Shopping Complex,Chanakyapuri, South Delhi",South Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.4,1275,2600,North Indian
Gola Sizzlers,"Preet Vihar, East Delhi",East Delhi,Delhi,"Sizzlers,  North Indian,  Chinese",4.2,83,1200,Sizzlers
Socia L Affaire,"Karol Bagh, Central Delhi",Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  European,  Oriental",3.6,51,1500,Multi-Cuisine
Jade,"The Claridges,Aurangzeb Road, Central Delhi",Central Delhi,Delhi,"Chinese,  Seafood",4.0,40,2500,Chinese
Lazy Bear,"Hudson Lane, North Delhi",North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.1,570,1100,Multi-Cuisine
Local heights,"Punjabi Bagh, West Delhi",West Delhi,Delhi,North Indian,3.8,426,800,North Indian
Kaarobaar,"Rajinder Nagar, West Delhi",West Delhi,Delhi,"North Indian,  Fast Food,  Chinese",3.9,12,900,North Indian
SAZ,"Sundar Nagar, Central Delhi",Central Delhi,Delhi,American,4.2,40,3000,American
The Waffle Co.,"Rajinder Nagar, West Delhi",West Delhi,Delhi,"Desserts,  Waffle,  Shakes",5.0,1,400,Desserts
Qubitos - The Terrace Cafe,"Rajouri Garden, West Delhi",West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Thai,  Mexican,  European",4.1,2422,1500,Multi-Cuisine
Bell Pepperz,"Community Centre,Ashok Vihar Phase - 2, North Delhi",North Delhi,Delhi,"North Indian,  Oriental",4.4,643,1200,North Indian
736 AD Cafe & Bar,"Vijay Nagar, North Delhi",North Delhi,Delhi,"Multi-Cuisine,  Italian,  Chinese,  Continental,  Lebanese",4.2,2062,1500,Multi-Cuisine
Jamun,"Lodhi Colony, South Delhi",South Delhi,Delhi,"North Indian,  Seafood,  Andhra,  Kerala",4.4,165,3000,North Indian
Ping's Cafe Orient,"Lodhi Colony, South Delhi",South Delhi,Delhi,Asian,4.4,306,2100,Asian
Maini's Green Leaf,"Unity One Mall,Shahdara, East Delhi",East Delhi,Delhi,"North Indian,  Italian,  Chinese",4.3,340,1000,North Indian
Elan,"The Lodhi,Lodhi Road, South Delhi",South Delhi,Delhi,"Continental,  North Indian,  Italian",4.3,203,4000,Continental
MKT,"The Chanakya,Chanakyapuri, South Delhi",South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Mexican,  European,  Seafood,  Asian",4.5,899,1900,Multi-Cuisine
Sandoz,"Karol Bagh, Central Delhi",Central Delhi,Delhi,"North Indian,  Chinese",3.1,8,1000,North Indian
Guppy,"Lodhi Colony, South Delhi",South Delhi,Delhi,"Asian,  Japanese,  Oriental",4.3,291,2500,Asian
AlKauser,"Chanakyapuri, South Delhi",South Delhi,Delhi,"Mughlai,  North Indian",4.0,12,800,Mughlai
G2 Cafe,"Anand Vihar, East Delhi",East Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  European,  Asian",4.2,510,1600,Multi-Cuisine
Breakin' Brew,"Anand Vihar, East Delhi",East Delhi,Delhi,"Italian,  Continental,  Oriental",4.6,58,900,Italian
Kake Da Hotel,"Rajinder Nagar, West Delhi",West Delhi,Delhi,North Indian,3.6,7,1000,North Indian
Bake Club,"East Patel Nagar, West Delhi",West Delhi,Delhi,"Bakery and Confectionary,  Desserts,  Fast Food",5.0,1,500,Bakery and Confectionary
The Sky High,"Ansal Plaza Mall,Khel Gaon, South Delhi",South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mughlai",4.2,1629,2000,Multi-Cuisine
The Salt Cafe Kitchen & Bar,"Preet Vihar, East Delhi",East Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",4.3,1479,2000,Multi-Cuisine
Sana-Di-Ge,"Malcha Marg Shopping Complex,Chanakyapuri, South Delhi",South Delhi,Delhi,"Seafood,  North Indian,  Goan,  Kerala",4.4,481,2200,Seafood
Anardana Modern Kitchen & Bar,"Preet Vihar, East Delhi",East Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.3,434,1700,North Indian
Perbacco,"The Lodhi,Lodhi Road, South Delhi",South Delhi,Delhi,Italian,4.0,22,3000,Italian
Uncultured Cafe & Bar,"Kailash Colony, South Delhi",South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Finger Food",4.3,2548,1500,Multi-Cuisine
Elma's Brasserie,"Mehar Chand Market,Lodhi Colony, South Delhi",South Delhi,Delhi,"Continental,  Italian,  European,  Desserts",4.4,108,1200,Continental
Verandah Moonshine,"Punjabi Bagh, West Delhi",West Delhi,Delhi,"North Indian,  Fast Food",4.2,939,1500,North Indian
Breath - Fine Lounge and Bar,"Punjabi Bagh, West Delhi",West Delhi,Delhi,"North Indian,  Chinese",3.9,622,1200,North Indian
Pinjore,"East Patel Nagar, West Delhi",West Delhi,Delhi,North Indian,3.6,13,1000,North Indian
The Barbeque Company,"Jail Road, West Delhi",West Delhi,Delhi,"North Indian,  Barbecue,  Chinese",4.3,2478,2100,North Indian
Xpose Lounge,"ITL Twin Tower,Netaji Subhash Place, North Delhi",North Delhi,Delhi,"North Indian,  Chinese,  Finger Food",3.9,1294,1700,North Indian
Berco's,"Kamla Nagar, North Delhi",North Delhi,Delhi,"Chinese,  Thai",4.1,350,1300,Chinese
Gyan's Restaurant,"East Patel Nagar, West Delhi",West Delhi,Delhi,North Indian,4.1,17,800,North Indian
Housefull Cafe Lounge,"Hudson Lane, North Delhi",North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.2,283,1800,Multi-Cuisine
Taco Bell,"Kamla Nagar, North Delhi",North Delhi,Delhi,"Mexican,  Tex Mex,  Tex Mex",4.5,125,500,Mexican
Sandoz,"Rajouri Garden, West Delhi",West Delhi,Delhi,"North Indian,  Chinese",4.4,1082,1200,North Indian
Off Campus,"Satya Niketan, South Delhi",South Delhi,Delhi,"North Indian,  Italian,  Continental,  Fast Food",4.2,1157,1000,North Indian
The Yellow Chilli,"V3S Mall,Laxmi Nagar, East Delhi",East Delhi,Delhi,"North Indian,  Mughlai",4.2,482,2000,North Indian
Gram by Taksim,"Ansal Plaza Mall,Khel Gaon, South Delhi",South Delhi,Delhi,"North Indian,  Asian,  Italian,  European",4.1,844,2200,North Indian
Xero Degrees,"Satya Niketan, South Delhi",South Delhi,Delhi,"Italian,  Fast Food,  Shakes",4.4,58,900,Italian
The Barbeque Company,"Karkardooma, East Delhi",East Delhi,Delhi,"North Indian,  Barbecue,  Chinese",4.3,1372,2100,North Indian
By The Bay,"Hudson Lane, North Delhi",North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  American,  Seafood",4.1,622,1800,Multi-Cuisine
Cafe Delhi Heights,"Unity One Mall,Janakpuri, West Delhi",West Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.4,451,2000,Modern Indian
Cafe Delhi Heights,"Sangam Courtyard,RK Puram, South Delhi",South Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.5,1046,2000,Modern Indian
Chili's American Grill and Bar,"Pacific Mall,Tagore Garden, West Delhi",West Delhi,Delhi,"Mexican,  American,  Italian",4.5,1157,2000,Mexican
Vikrant Cafe,"Kamla Nagar, North Delhi",North Delhi,Delhi,"North Indian,  Fast Food,  Chinese,  South Indian",3.7,81,700,North Indian
Tippling Street,"Rajouri Garden, West Delhi",West Delhi,Delhi,"North Indian,  Chinese,  Continental,  Asian",4.3,1435,1800,North Indian
The Bowton House Cafe,"Satya Niketan, South Delhi",South Delhi,Delhi,"North Indian,  Chinese,  Italian,  Continental",3.7,227,800,North Indian
Bhukkad's Cafe,"Kamla Nagar, North Delhi",North Delhi,Delhi,Fast Food,4.7,3,400,Fast Food
JD Theatre Cafe,"Ashok Vihar Phase - 1, North Delhi",North Delhi,Delhi,Fast Food,4.7,5,500,Fast Food
Moti Mahal Delux,"South Extension - 2, South Delhi",South Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.4,470,1500,North Indian
The Laalten,"Kamla Nagar, North Delhi",North Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Fast Food",4.2,383,1600,North Indian
Govardhan Vegetarian,"Kamla Nagar, North Delhi",North Delhi,Delhi,"North Indian,  Chinese,  South Indian",3.7,75,1000,North Indian
Sambookas,"DDA Market Complex,Hudson Lane, North Delhi",North Delhi,Delhi,"Italian,  Continental,  Fast Food",4.3,553,1200,Italian
Clay 1 Grill,"Kirti Nagar, West Delhi",West Delhi,Delhi,North Indian,4.2,624,2000,North Indian
Cafe Chill'm,"Kamla Nagar, North Delhi",North Delhi,Delhi,"North Indian,  Fast Food,  Italian,  American",4.1,234,1800,North Indian
Imly,"Ashok Vihar Phase - 2, North Delhi",North Delhi,Delhi,"Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",4.2,1363,800,Street Food
The Hogwarts Kafe,"Ashok Vihar Phase - 2, North Delhi",North Delhi,Delhi,"Fast Food,  North Indian,  Italian,  Continental,  Mexican,  Lebanese,  Oriental",4.2,221,1200,Fast Food
Chimney Sizzlers,"Yashwant Place,Chanakyapuri, South Delhi",South Delhi,Delhi,"Chinese,  Fast Food",4.5,3,800,Chinese
